               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096405,             0.10057,            0.060865,           0.0016237,             0.16762,           0.0018682,          0.00048661,            0.079907,            0.081354,            0.059677,            0.070429,           0.0032857,           0.0032857
                   1,            0.087943,             0.10799,            0.058519,            0.001532,             0.15317,           0.0033734,          0.00079801,             0.07766,            0.081693,              0.0585,            0.040412,           0.0066027,           0.0066027
                   2,             0.08328,            0.088019,            0.054616,             0.14523,             0.14518,            0.032413,           0.0088172,            0.081571,            0.082059,            0.053831,            0.010379,           0.0099031,           0.0099031
                   3,            0.077028,            0.079456,            0.048184,             0.26226,             0.27357,            0.035919,            0.008446,            0.094307,             0.05934,            0.050363,           0.0099258,           0.0099258,           0.0099258
                   4,            0.070419,            0.074132,             0.04003,             0.72654,             0.33175,             0.37916,             0.14208,            0.058402,            0.065559,            0.035153,           0.0099258,           0.0099258,           0.0099258
                   5,            0.065038,            0.070557,            0.033691,             0.74829,             0.43676,             0.48734,             0.15746,            0.058769,            0.040685,            0.028965,            0.009901,            0.009901,            0.009901
                   6,            0.061729,            0.065619,            0.029209,             0.81468,              0.5502,             0.64364,             0.21868,            0.053786,            0.036571,            0.021174,           0.0098763,           0.0098763,           0.0098763
                   7,            0.057629,            0.063902,            0.024841,             0.52666,             0.78056,             0.61628,             0.28593,            0.048083,            0.036443,            0.015929,           0.0098515,           0.0098515,           0.0098515
                   8,            0.057268,            0.060554,            0.021343,             0.73261,              0.8116,             0.72574,             0.34933,            0.042098,             0.03479,            0.013325,           0.0098268,           0.0098268,           0.0098268
                   9,             0.05328,            0.063283,            0.018898,              0.7577,             0.77601,             0.74047,             0.31002,            0.045915,            0.034026,            0.012487,            0.009802,            0.009802,            0.009802
                  10,            0.051895,            0.060052,            0.016624,             0.81362,             0.78882,             0.73337,             0.27577,            0.048229,            0.034404,            0.010462,           0.0097773,           0.0097773,           0.0097773
                  11,            0.050322,            0.058759,            0.014965,             0.82866,             0.80552,             0.76042,             0.33308,            0.042242,             0.03361,           0.0098166,           0.0097525,           0.0097525,           0.0097525
                  12,            0.049925,             0.05908,            0.014698,             0.89702,             0.85099,             0.83702,             0.47401,            0.033043,            0.031925,           0.0095922,           0.0097278,           0.0097278,           0.0097278
                  13,            0.049175,            0.057682,            0.013884,             0.89965,             0.83413,             0.82046,             0.36303,            0.041191,            0.032222,           0.0091287,            0.009703,            0.009703,            0.009703
                  14,            0.046526,            0.056893,            0.012791,             0.94314,             0.87214,             0.86053,             0.54859,            0.029323,            0.030734,           0.0081244,           0.0096783,           0.0096783,           0.0096783
