               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036731,             0.04835,           0.0060643,             0.97763,              0.8832,             0.86795,             0.53196,            0.028882,            0.028084,           0.0032453,            0.006535,            0.006535,            0.006535
                  37,            0.035822,            0.047894,           0.0059836,             0.97783,             0.88297,             0.86766,             0.51844,            0.030624,            0.027965,           0.0031477,            0.006436,            0.006436,            0.006436
                  38,            0.035494,            0.048487,           0.0060498,             0.97793,             0.88338,             0.86893,             0.54862,             0.02801,            0.027526,           0.0031114,            0.006337,            0.006337,            0.006337
                  39,            0.035575,            0.047717,           0.0056165,             0.97688,             0.88317,              0.8664,             0.62563,            0.023058,            0.025483,           0.0032385,            0.006238,            0.006238,            0.006238
                  40,            0.035365,            0.048785,           0.0059948,             0.97574,              0.8827,             0.86661,             0.61865,            0.024407,            0.026314,            0.003068,            0.006139,            0.006139,            0.006139
                  41,            0.035195,            0.047725,           0.0057019,             0.97792,             0.88358,             0.86846,             0.60108,            0.024657,            0.026041,            0.003035,             0.00604,             0.00604,             0.00604
                  42,            0.034663,            0.047258,           0.0056063,             0.97778,             0.88277,             0.86919,               0.629,            0.022455,            0.025235,           0.0030485,            0.005941,            0.005941,            0.005941
                  43,            0.034129,            0.047788,           0.0052368,             0.97707,             0.88273,             0.86722,             0.60311,            0.024865,            0.026343,           0.0032361,            0.005842,            0.005842,            0.005842
                  44,            0.034611,            0.048198,           0.0054686,             0.97783,              0.8827,               0.868,             0.63152,            0.022225,             0.02511,           0.0030548,            0.005743,            0.005743,            0.005743
                  45,            0.035435,            0.047697,           0.0054279,             0.97762,             0.88358,             0.86856,             0.54398,            0.028111,            0.026707,            0.002981,            0.005644,            0.005644,            0.005644
                  46,            0.034162,            0.048474,           0.0054607,             0.97825,             0.88276,             0.86974,             0.53494,             0.02864,            0.027241,           0.0029824,            0.005545,            0.005545,            0.005545
                  47,            0.034004,            0.046885,           0.0053859,              0.9771,             0.88337,             0.86784,             0.66239,            0.020529,            0.024513,           0.0029287,            0.005446,            0.005446,            0.005446
                  48,            0.033409,            0.046149,           0.0051581,             0.97774,             0.88384,             0.86729,             0.51983,            0.030447,            0.028342,           0.0029871,            0.005347,            0.005347,            0.005347
                  49,            0.033307,            0.046228,           0.0050274,             0.97781,             0.88323,              0.8687,             0.64507,            0.021515,            0.024465,           0.0028855,            0.005248,            0.005248,            0.005248
                  50,            0.033392,            0.047567,           0.0049861,             0.97698,             0.88231,             0.86762,             0.56181,             0.02588,            0.026247,            0.002841,            0.005149,            0.005149,            0.005149
                  51,            0.033152,            0.046337,           0.0050467,             0.97799,             0.88343,             0.86721,             0.61399,            0.023077,            0.025064,           0.0029392,             0.00505,             0.00505,             0.00505
                  52,            0.033101,             0.04788,            0.005183,              0.9778,             0.88344,             0.86939,              0.6537,            0.020707,            0.024246,           0.0028417,            0.004951,            0.004951,            0.004951
                  53,            0.032412,            0.045706,           0.0048439,             0.97734,             0.88309,             0.86763,             0.64838,            0.021037,            0.024562,           0.0028811,            0.004852,            0.004852,            0.004852
                  54,            0.032333,             0.04642,           0.0050485,             0.97803,             0.88312,             0.86885,             0.51551,            0.029738,            0.027627,           0.0028509,            0.004753,            0.004753,            0.004753
                  55,            0.032068,            0.046672,           0.0046742,             0.97759,             0.88298,             0.86857,             0.64077,            0.021383,            0.024208,           0.0027461,            0.004654,            0.004654,            0.004654
                  56,            0.031549,            0.046204,           0.0047906,             0.97783,             0.88304,             0.86946,             0.65243,            0.020524,             0.02411,           0.0027104,            0.004555,            0.004555,            0.004555
                  57,            0.031882,            0.045106,           0.0046789,             0.97787,             0.88312,             0.86967,             0.61431,              0.0227,            0.024684,           0.0026478,            0.004456,            0.004456,            0.004456
                  58,            0.032168,            0.044808,           0.0049693,             0.97803,             0.88317,             0.86748,             0.62565,            0.022499,            0.024731,           0.0027568,            0.004357,            0.004357,            0.004357
                  59,            0.031713,            0.045071,           0.0047823,             0.97765,             0.88281,             0.86945,             0.65376,            0.020617,            0.024287,           0.0027042,            0.004258,            0.004258,            0.004258
                  60,            0.031273,            0.044704,           0.0047207,             0.97796,              0.8835,             0.86944,             0.65312,            0.020541,            0.024173,           0.0027349,            0.004159,            0.004159,            0.004159
                  61,            0.031299,             0.04582,           0.0047636,             0.97777,             0.88328,             0.87022,             0.65877,            0.019959,            0.023977,           0.0027663,             0.00406,             0.00406,             0.00406
                  62,            0.031588,            0.043818,           0.0045845,             0.97789,             0.88331,             0.86919,             0.67181,            0.019422,            0.023528,           0.0027096,            0.003961,            0.003961,            0.003961
                  63,            0.030775,            0.044699,           0.0045721,             0.97792,             0.88364,             0.86937,             0.63238,            0.021889,             0.02456,           0.0026536,            0.003862,            0.003862,            0.003862
                  64,            0.030332,            0.043822,           0.0044973,             0.97786,             0.88292,             0.86825,             0.66024,            0.019685,            0.023534,           0.0026623,            0.003763,            0.003763,            0.003763
