               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.073342,             0.03149,            0.010757,            0.029838,            0.077963,             0.01577,           0.0036086,             0.08106,            0.017793,            0.011637,           0.0091585,           0.0091585,           0.0091585
                  36,            0.071797,            0.033406,           0.0093075,            0.012245,             0.23857,            0.012154,            0.002441,            0.084006,            0.016654,            0.012856,           0.0091337,           0.0091337,           0.0091337
                  37,            0.073201,            0.032579,             0.01104,            0.012145,             0.26923,            0.013922,           0.0034281,            0.086825,            0.016175,            0.021539,            0.009109,            0.009109,            0.009109
                  38,             0.07213,            0.031779,            0.010405,            0.015148,            0.045218,            0.027948,           0.0042785,            0.083601,            0.017645,             0.01015,           0.0090843,           0.0090843,           0.0090843
                  39,            0.071612,            0.031698,            0.010909,           0.0046129,             0.49584,            0.011826,           0.0029955,            0.087165,            0.017047,            0.009538,           0.0090595,           0.0090595,           0.0090595
                  40,            0.072251,             0.03053,           0.0097337,            0.015817,             0.18763,            0.014747,            0.003248,            0.083909,            0.016991,            0.013287,           0.0090347,           0.0090347,           0.0090347
                  41,            0.069957,            0.031009,           0.0089949,            0.041775,              0.1606,            0.024112,           0.0050029,            0.082388,            0.017257,            0.015811,             0.00901,             0.00901,             0.00901
                  42,            0.069658,             0.03144,            0.010512,            0.030474,             0.10499,            0.018898,           0.0049731,            0.082047,            0.016436,            0.015053,           0.0089853,           0.0089853,           0.0089853
                  43,            0.069369,            0.030273,           0.0097376,            0.040091,             0.14263,             0.02571,           0.0048257,            0.084534,            0.017782,            0.011146,           0.0089605,           0.0089605,           0.0089605
                  44,            0.070716,            0.030904,           0.0093384,            0.024762,             0.14241,            0.021071,           0.0044191,            0.080885,            0.017705,            0.010985,           0.0089358,           0.0089358,           0.0089358
                  45,            0.069725,            0.032005,            0.010352,            0.037575,             0.13565,            0.028868,           0.0060339,            0.080265,            0.017095,            0.012049,            0.008911,            0.008911,            0.008911
                  46,            0.067624,            0.031598,           0.0099022,            0.029065,             0.14813,            0.030165,           0.0065199,            0.082318,            0.017086,            0.014675,           0.0088863,           0.0088863,           0.0088863
                  47,            0.067746,            0.031429,           0.0099475,            0.045894,             0.08368,            0.030913,           0.0066924,            0.079626,             0.01827,            0.011358,           0.0088615,           0.0088615,           0.0088615
                  48,            0.068704,            0.031799,           0.0084894,            0.078136,            0.091476,            0.037971,           0.0086439,             0.08057,            0.017584,            0.010632,           0.0088368,           0.0088368,           0.0088368
                  49,            0.068034,            0.030201,           0.0088635,             0.10258,            0.085759,            0.041652,            0.010934,            0.075332,            0.020378,           0.0089037,            0.008812,            0.008812,            0.008812
                  50,            0.066963,            0.032928,            0.008383,            0.055165,             0.10499,             0.05071,            0.011815,            0.087276,            0.017012,            0.014652,           0.0087872,           0.0087872,           0.0087872
                  51,            0.067652,            0.032061,             0.01029,            0.088232,             0.15696,            0.045245,            0.011299,            0.076358,            0.015984,           0.0083403,           0.0087625,           0.0087625,           0.0087625
